date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/27/2025,Slate,SLAT5,C,black spruce,no,no,5.6,NA,0,0,0,0,0,3,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,2.6,NA,NA,25,25,0,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,6.6,NA,100,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,8.6,NA,0,0,0,0,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,4.4,NA,NA,75,75,50,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,4.8,NA,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,5,NA,0,75,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,4.9,NA,0,100,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,5,NA,0,100,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,no,no,2.3,NA,NA,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,4.1,NA,NA,75,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,no,yes,5.5,NA,NA,NA,NA,NA,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,no,no,0.1,NA,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,no,no,0.9,NA,NA,100,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,no,no,5,NA,NA,50,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,2.2,NA,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,6.7,NA,0,75,75,50,NA,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,6.2,NA,0,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,2.2,NA,NA,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,yes,6.1,NA,NA,NA,NA,NA,25,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,2.4,NA,NA,100,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,5.1,NA,NA,100,75,25,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,4.1,NA,0,50,25,25,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,no,no,3,NA,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,3.3,NA,50,75,50,25,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,NA,1.1,NA,100,100,100,25,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,1.6,NA,NA,100,100,75,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,2.6,NA,NA,100,100,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,4.5,NA,25,75,50,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,no,4.9,NA,0,75,75,50,0,NA,,,
7/26/2025,Slate,SLAT2,C,black spruce,yes,yes,6.1,NA,NA,NA,NA,NA,25,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,5.4,NA,NA,100,100,75,0,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,no,yes,2.8,NA,NA,NA,NA,NA,25,NA,,,
7/27/2025,Slate,SLAT4,C,black spruce,yes,no,5.1,NA,NA,100,100,100,0,NA,,,
